"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response"
"[{""page_index"":0,""viewing_time"":1861}]","1861","instructions","182","902970","0.0-182.0",""
"","4368","html-slider-response","183","907590","0.0-183.0","100"
"[{""page_index"":0,""viewing_time"":497}]","497","instructions","184","908338","0.0-184.0",""
"","8701","html-slider-response","185","917290","0.0-185.0","0"
"[{""page_index"":0,""viewing_time"":1033}]","1033","instructions","186","918578","0.0-186.0",""
"","4984","html-slider-response","187","923818","0.0-187.0","100"
"[{""page_index"":0,""viewing_time"":1038}]","1038","instructions","188","925106","0.0-188.0",""
"","11940","html-slider-response","189","937301","0.0-189.0","100"
"[{""page_index"":0,""viewing_time"":688}]","688","instructions","190","938241","0.0-190.0",""
"","10081","html-slider-response","191","948577","0.0-191.0","0"
"[{""page_index"":0,""viewing_time"":781}]","781","instructions","192","949609","0.0-192.0",""
"","3351","html-slider-response","193","953213","0.0-193.0","100"
"[{""page_index"":0,""viewing_time"":792}]","792","instructions","194","954257","0.0-194.0",""
"[{""page_index"":0,""viewing_time"":2619}]","2619","instructions","195","957129","0.0-195.0",""
"","5581","html-slider-response","196","962965","0.0-196.0","100"
"[{""page_index"":0,""viewing_time"":1857}]","1857","instructions","197","965073","0.0-197.0",""
"","5520","html-slider-response","198","970848","0.0-198.0","100"
"[{""page_index"":0,""viewing_time"":745}]","745","instructions","199","971848","0.0-199.0",""
"","12423","html-slider-response","200","984524","0.0-200.0","100"
"[{""page_index"":0,""viewing_time"":967}]","967","instructions","201","985744","0.0-201.0",""
"","4783","html-slider-response","202","990780","0.0-202.0","100"
"[{""page_index"":0,""viewing_time"":702}]","703","instructions","203","991736","0.0-203.0",""
"","35851","html-slider-response","204","1027842","0.0-204.0","0"
"[{""page_index"":0,""viewing_time"":622}]","622","instructions","205","1028719","0.0-205.0",""
"","6501","html-slider-response","206","1035474","0.0-206.0","100"
"[{""page_index"":0,""viewing_time"":670}]","670","instructions","207","1036398","0.0-207.0",""
"","4732","html-slider-response","208","1041382","0.0-208.0","100"
"[{""page_index"":0,""viewing_time"":889}]","889","instructions","209","1042526","0.0-209.0",""
"[{""page_index"":0,""viewing_time"":1778}]","1778","instructions","210","1044558","0.0-210.0",""
"[{""page_index"":0,""viewing_time"":1499}]","1499","instructions","211","1046310","0.0-211.0",""
"","19485","html-slider-response","212","1066050","0.0-212.0","0"
"[{""page_index"":0,""viewing_time"":1374}]","1374","instructions","213","1067677","0.0-213.0",""
"","3369","html-slider-response","214","1071297","0.0-214.0","100"
"[{""page_index"":0,""viewing_time"":487}]","487","instructions","215","1072037","0.0-215.0",""
"","6485","html-slider-response","216","1078777","0.0-216.0","0"
"[{""page_index"":0,""viewing_time"":694}]","694","instructions","217","1079725","0.0-217.0",""
"","6304","html-slider-response","218","1086281","0.0-218.0","0"
"[{""page_index"":0,""viewing_time"":814}]","814","instructions","219","1087349","0.0-219.0",""
"","5013","html-slider-response","220","1092617","0.0-220.0","100"
"[{""page_index"":0,""viewing_time"":965}]","965","instructions","221","1093837","0.0-221.0",""
"","10360","html-slider-response","222","1104448","0.0-222.0","100"
"[{""page_index"":0,""viewing_time"":695}]","695","instructions","223","1105396","0.0-223.0",""
"[{""page_index"":0,""viewing_time"":1605}]","1605","instructions","224","1107252","0.0-224.0",""
"","3943","html-slider-response","225","1111449","0.0-225.0","100"
"[{""page_index"":0,""viewing_time"":1256}]","1256","instructions","226","1112956","0.0-226.0",""
"[{""page_index"":0,""viewing_time"":2171}]","2171","instructions","227","1115380","0.0-227.0",""
"","14472","html-slider-response","228","1130108","0.0-228.0","100"
"[{""page_index"":0,""viewing_time"":1100}]","1101","instructions","229","1131460","0.0-229.0",""
"","3915","html-slider-response","230","1135628","0.0-230.0","0"
"[{""page_index"":0,""viewing_time"":548}]","548","instructions","231","1136427","0.0-231.0",""
"[{""page_index"":0,""viewing_time"":4155}]","4155","instructions","232","1140835","0.0-232.0",""
"","9484","html-slider-response","233","1150571","0.0-233.0","100"
"[{""page_index"":0,""viewing_time"":595}]","595","instructions","234","1151419","0.0-234.0",""
"","5650","html-slider-response","235","1157323","0.0-235.0","100"
"[{""page_index"":0,""viewing_time"":861}]","861","instructions","236","1158435","0.0-236.0",""
"","3156","html-slider-response","237","1161843","0.0-237.0","0"
"[{""page_index"":0,""viewing_time"":667}]","668","instructions","238","1162763","0.0-238.0",""
"","15568","html-slider-response","239","1178586","0.0-239.0","0"
"[{""page_index"":0,""viewing_time"":443}]","443","instructions","240","1179282","0.0-240.0",""
"","3458","html-slider-response","241","1182994","0.0-241.0","100"
"[{""page_index"":0,""viewing_time"":4705}]","4705","instructions","242","1187954","0.0-242.0",""
